-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.037,  0.148
-183.800, 80.197, 0.036,  0.181
-183.800, 80.196, 0.042,  0.214
-183.800, 80.193, 0.116,  0.247
-183.800, 80.186, 0.225,  0.280
-183.800, 80.171, 0.472,  0.313
-183.799, 80.147, 0.727,  0.346
-183.799, 80.116, 0.941,  0.379
-183.798, 80.078, 1.134,  0.412
-183.798, 80.035, 1.315,  0.445
-183.797, 79.986, 1.482,  0.478
-183.796, 79.932, 1.621,  0.511
-183.795, 79.876, 1.700,  0.544
-183.794, 79.818, 1.734,  0.577
-183.793, 79.761, 1.746,  0.610
-183.792, 79.704, 1.740,  0.643
-183.791, 79.647, 1.721,  0.676
-183.790, 79.591, 1.693,  0.709
-183.789, 79.537, 1.658,  0.742
-183.788, 79.484, 1.618,  0.775
-183.787, 79.432, 1.575,  0.808
-183.786, 79.382, 1.504,  0.841
-183.785, 79.334, 1.449,  0.874
-183.784, 79.288, 1.404,  0.907
-183.783, 79.242, 1.376,  0.940
-183.782, 79.197, 1.370,  0.973
-183.781, 79.151, 1.386,  1.006
-183.780, 79.104, 1.423,  1.039
-183.779, 79.055, 1.477,  1.072
-183.778, 79.004, 1.536,  1.105
-183.777, 78.951, 1.590,  1.138
-183.775, 78.897, 1.630,  1.171
-183.774, 78.841, 1.654,  1.204
-183.773, 78.786, 1.660,  1.237
-183.771, 78.731, 1.653,  1.270
-183.770, 78.676, 1.636,  1.303
-183.768, 78.623, 1.614,  1.336
-183.767, 78.570, 1.592,  1.369
-183.766, 78.518, 1.572,  1.402
-183.764, 78.466, 1.557,  1.435
-183.763, 78.414, 1.551,  1.468
-183.761, 78.363, 1.553,  1.501
-183.760, 78.311, 1.563,  1.534
-183.758, 78.258, 1.580,  1.567
-183.757, 78.205, 1.602,  1.600
-183.755, 78.151, 1.625,  1.633
-183.753, 78.096, 1.646,  1.666
-183.752, 78.040, 1.663,  1.699
-183.750, 77.985, 1.675,  1.732
